<<<<<<< HEAD
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
2 1 11
22 1 14
23 1 15
23 1 17
23 1 22
19 1 21
24 1 23
24 1 19
15 1 12
19 1 37
19 1 31
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
2 2 11
12 2 12
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
23 2 19
14 2 12
12 2 14
18 2 18
21 2 21
3 2 3
10 2 31
31 2 18
18 2 10
10 2 24
24 2 10
24 2 24
24 2 18
6 2 6
2 2 8
8 2 19
29 2 5
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
9 1 7
9 1 2
10 1 9
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
2 1 11
19 1 10
19 1 21
24 1 23
24 1 19
19 1 24
27 1 14
19 1 31
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
7 2 2
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
2 2 11
10 2 21
21 2 10
21 2 18
23 2 19
13 2 12
18 2 18
3 2 3
31 2 31
31 2 10
10 2 10
21 2 24
24 2 24
24 2 27
6 2 6
6 2 7
2 2 8
8 2 19
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
2 1 12
14 1 13
3 1 14
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
17 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
19 1 21
24 1 23
24 1 19
19 1 14
14 1 19
19 1 31
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 11
2 2 12
12 2 2
2 2 4
6 2 6
2 2 15
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
23 2 19
14 2 14
31 2 31
31 2 18
18 2 18
3 2 3
21 2 24
24 2 10
10 2 24
24 2 18
2 2 8
8 2 19
10 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
14 1 13
15 1 14
9 1 15
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
14 1 2
14 1 12
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
28 1 19
21 1 28
19 1 21
19 1 31
32 1 17
32 1 19
22 1 14
23 1 15
23 1 17
23 1 22
40 1 19
40 1 17
19 1 40
24 1 23
24 1 19
19 1 32
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 15
2 2 12
12 2 2
2 2 4
12 2 13
12 2 16
17 2 20
12 2 12
20 2 28
18 2 21
21 2 18
18 2 31
31 2 18
18 2 10
10 2 21
21 2 10
17 2 19
15 2 17
17 2 22
19 2 17
3 2 3
18 2 40
40 2 18
18 2 18
23 2 19
10 2 31
18 2 32
32 2 18
18 2 24
6 2 6
2 2 8
8 2 19
29 2 5
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
9 1 7
9 1 2
10 1 9
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
2 1 11
11 1 14
22 1 14
23 1 15
23 1 17
23 1 22
19 1 10
19 1 21
24 1 23
24 1 19
19 1 24
19 1 35
19 1 31
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
7 2 2
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
2 2 11
15 2 17
17 2 22
10 2 21
21 2 10
23 2 19
18 2 18
3 2 3
18 2 35
18 2 21
10 2 10
10 2 31
31 2 31
31 2 10
10 2 24
24 2 24
6 2 6
6 2 7
2 2 8
8 2 19
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
2 1 2
2 1 11
9 1 7
9 1 2
26 1 9
8 1 26
10 1 9
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
33 1 21
21 1 33
19 1 10
19 1 21
24 1 23
24 1 19
19 1 31
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
2 2 11
7 2 2
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
18 2 18
20 2 33
33 2 33
10 2 21
21 2 10
21 2 18
18 2 21
23 2 19
3 2 3
31 2 31
31 2 10
10 2 10
18 2 24
24 2 18
6 2 6
6 2 7
2 2 8
8 2 19
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
9 1 7
9 1 2
10 1 9
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 10
19 1 21
24 1 23
24 1 19
28 1 19
21 1 28
33 1 21
21 1 33
27 1 14
19 1 31
19 1 24
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
7 2 2
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
16 2 12
12 2 12
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
18 2 18
23 2 19
20 2 28
20 2 33
33 2 33
33 2 28
3 2 3
31 2 31
31 2 10
10 2 10
21 2 31
31 2 18
18 2 24
24 2 18
18 2 27
6 2 6
6 2 7
2 2 8
8 2 19
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
26 1 9
8 1 26
14 1 2
3 1 14
16 1 2
16 1 4
14 1 12
14 1 16
18 1 14
2 1 2
2 1 12
15 1 14
9 1 15
14 1 13
17 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 31
19 1 21
24 1 23
24 1 19
27 1 14
19 1 24
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
32 1 17
32 1 19
19 1 32
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 4
2 2 12
12 2 12
12 2 2
12 2 16
2 2 15
12 2 13
17 2 20
15 2 17
17 2 22
31 2 18
18 2 10
10 2 21
21 2 10
21 2 18
18 2 18
23 2 19
10 2 31
18 2 24
24 2 27
6 2 6
2 2 8
8 2 19
17 2 19
10 2 18
18 2 32
32 2 27
2 2 2
3 2 3
25 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
14 1 13
11 1 14
2 1 2
2 1 11
14 1 12
14 1 2
3 1 14
4 1 3
16 1 2
16 1 4
14 1 16
15 1 14
9 1 6
9 1 7
9 1 2
9 1 15
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
5 1 4
18 1 14
2 1 12
17 1 14
19 1 18
20 1 19
21 1 17
21 1 20
28 1 19
21 1 28
19 1 21
19 1 31
32 1 17
32 1 19
27 1 14
19 1 32
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
23 1 15
23 1 17
23 1 22
24 1 23
24 1 19
19 1 24
36 1 7
36 1 2
36 1 8
19 1 36
19 1 25
30 1 29
30 1 5
2 2 11
12 2 2
2 2 4
12 2 16
6 2 7
7 2 2
2 2 15
10 2 10
6 2 2
2 2 19
6 2 6
2 2 12
12 2 13
12 2 12
17 2 20
20 2 28
18 2 21
21 2 18
18 2 31
31 2 18
18 2 10
10 2 21
21 2 10
18 2 18
17 2 19
10 2 18
18 2 32
32 2 18
18 2 27
2 2 8
8 2 19
15 2 17
17 2 22
23 2 19
3 2 3
18 2 24
24 2 18
10 2 36
36 2 10
10 2 25
25 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
14 1 2
14 1 12
14 1 13
18 1 14
17 1 14
16 1 2
16 1 4
14 1 16
2 1 2
2 1 12
15 1 14
9 1 15
3 1 14
19 1 18
20 1 19
21 1 17
21 1 20
28 1 19
21 1 28
19 1 21
32 1 17
32 1 19
27 1 14
19 1 32
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
2 1 11
11 1 14
40 1 19
40 1 17
19 1 40
22 1 14
23 1 15
23 1 17
23 1 22
24 1 23
24 1 19
19 1 24
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
6 2 6
2 2 12
12 2 13
12 2 2
2 2 4
12 2 12
12 2 16
2 2 15
17 2 20
18 2 18
20 2 28
18 2 10
10 2 21
21 2 10
21 2 18
18 2 21
17 2 19
10 2 18
18 2 32
32 2 18
18 2 27
2 2 8
8 2 19
2 2 11
11 2 11
21 2 21
19 2 17
15 2 17
17 2 22
3 2 3
23 2 19
21 2 24
10 2 25
25 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
14 1 13
11 1 14
2 1 2
2 1 11
14 1 12
14 1 2
3 1 14
4 1 3
16 1 2
16 1 4
14 1 16
15 1 14
9 1 6
9 1 7
9 1 2
9 1 15
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
5 1 4
2 1 12
18 1 14
17 1 14
22 1 14
23 1 15
23 1 17
23 1 22
19 1 18
20 1 19
21 1 17
21 1 20
33 1 21
21 1 33
28 1 19
21 1 28
19 1 21
19 1 31
24 1 23
24 1 19
27 1 14
19 1 24
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
2 2 11
12 2 2
2 2 4
12 2 16
6 2 7
7 2 2
2 2 15
10 2 10
6 2 2
2 2 19
2 2 12
6 2 6
12 2 12
12 2 13
15 2 17
17 2 22
17 2 20
18 2 18
20 2 33
33 2 33
20 2 28
10 2 21
21 2 10
21 2 18
18 2 21
21 2 21
21 2 31
31 2 18
23 2 19
10 2 31
18 2 24
24 2 18
18 2 27
2 2 8
8 2 19
3 2 3
10 2 25
25 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
9 1 7
9 1 2
10 1 9
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
2 1 11
19 1 10
19 1 21
24 1 23
24 1 19
19 1 24
19 1 31
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
7 2 2
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
2 2 11
12 2 12
10 2 21
21 2 10
21 2 18
18 2 18
23 2 19
13 2 12
3 2 3
18 2 24
24 2 18
31 2 31
31 2 10
10 2 10
21 2 24
24 2 24
6 2 6
6 2 7
2 2 8
8 2 19
31 2 25
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
2 1 12
14 1 13
3 1 14
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
17 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
11 1 14
19 1 21
32 1 17
32 1 19
19 1 32
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 11
2 2 12
12 2 2
2 2 4
6 2 6
2 2 15
12 2 13
12 2 16
17 2 20
10 2 21
21 2 10
21 2 18
18 2 18
17 2 19
3 2 3
21 2 32
32 2 18
18 2 32
2 2 8
8 2 19
10 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
26 1 9
8 1 26
14 1 2
14 1 12
14 1 13
18 1 14
16 1 2
16 1 4
14 1 16
2 1 2
2 1 12
15 1 14
9 1 15
17 1 14
3 1 14
19 1 18
20 1 19
21 1 17
21 1 20
28 1 19
21 1 28
19 1 21
32 1 17
32 1 19
27 1 14
19 1 32
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
22 1 14
23 1 15
23 1 17
23 1 22
18 1 12
24 1 23
24 1 19
19 1 24
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
6 2 6
2 2 12
12 2 13
2 2 4
12 2 2
12 2 12
12 2 16
2 2 15
17 2 20
20 2 28
18 2 21
21 2 18
18 2 18
18 2 10
10 2 21
21 2 10
17 2 19
10 2 18
18 2 32
32 2 18
18 2 27
2 2 8
8 2 19
26 2 26
32 2 21
21 2 27
15 2 17
17 2 22
14 2 12
12 2 14
3 2 3
23 2 19
18 2 24
10 2 25
25 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

2 1 2
2 1 11
7 1 2
14 1 13
11 1 14
14 1 12
14 1 2
15 1 14
9 1 6
9 1 7
9 1 2
9 1 15
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
16 1 2
16 1 4
14 1 16
2 1 12
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 21
24 1 23
24 1 19
32 1 17
32 1 19
27 1 14
19 1 24
19 1 32
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 31
30 1 29
30 1 5
2 2 11
12 2 2
6 2 7
7 2 2
2 2 15
10 2 10
6 2 2
2 2 19
2 2 4
12 2 16
6 2 6
2 2 12
12 2 13
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
23 2 19
18 2 18
17 2 19
21 2 18
13 2 12
3 2 3
21 2 24
24 2 18
18 2 32
32 2 18
18 2 27
2 2 8
8 2 19
10 2 25
31 2 29
29 2 5
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
7 1 2
14 1 13
11 1 14
14 1 12
14 1 2
15 1 14
9 1 6
9 1 7
9 1 2
9 1 15
10 1 9
26 1 9
8 1 26
2 1 12
16 1 2
16 1 4
14 1 16
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 10
19 1 21
24 1 23
24 1 19
19 1 35
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
2 2 11
12 2 2
6 2 6
6 2 7
7 2 2
2 2 15
2 2 12
2 2 4
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
18 2 18
23 2 19
24 2 18
18 2 21
3 2 3
10 2 10
21 2 24
24 2 10
10 2 24
24 2 24
2 2 8
8 2 19
10 2 25
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
2 1 12
14 1 13
3 1 14
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 12
26 1 9
8 1 26
14 1 2
17 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
19 1 21
24 1 23
24 1 19
19 1 31
28 1 19
21 1 28
33 1 21
21 1 33
19 1 38
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 11
2 2 12
12 2 2
2 2 4
6 2 6
2 2 15
12 2 16
12 2 13
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
23 2 19
31 2 31
31 2 18
18 2 31
20 2 28
13 2 12
20 2 33
33 2 33
3 2 3
10 2 24
24 2 21
21 2 21
21 2 24
24 2 18
18 2 18
2 2 8
8 2 19
10 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 31
19 1 21
24 1 23
24 1 19
32 1 17
32 1 19
19 1 32
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 12
12 2 2
2 2 4
2 2 15
12 2 13
12 2 16
17 2 20
12 2 12
15 2 17
17 2 22
31 2 18
18 2 10
10 2 21
21 2 10
21 2 18
18 2 18
23 2 19
18 2 21
17 2 19
3 2 3
10 2 31
31 2 31
31 2 10
10 2 32
32 2 31
18 2 24
24 2 10
18 2 31
31 2 24
6 2 6
2 2 8
8 2 19
31 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
14 1 13
15 1 14
9 1 15
14 1 2
14 1 12
18 1 14
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
17 1 14
3 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
28 1 19
21 1 28
19 1 21
19 1 31
24 1 23
24 1 19
27 1 14
19 1 24
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 35
32 1 17
32 1 19
19 1 32
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
6 2 6
2 2 15
2 2 12
12 2 2
2 2 4
12 2 13
12 2 16
17 2 20
12 2 12
15 2 17
17 2 22
18 2 18
20 2 28
21 2 18
18 2 31
31 2 18
18 2 10
10 2 21
21 2 10
23 2 19
21 2 31
21 2 24
24 2 18
18 2 27
2 2 8
8 2 19
3 2 3
18 2 21
21 2 35
18 2 24
17 2 19
18 2 32
10 2 25
25 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
26 1 9
8 1 26
16 1 2
16 1 4
14 1 2
14 1 12
14 1 16
18 1 14
2 1 2
2 1 12
15 1 14
9 1 15
14 1 13
17 1 14
3 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 21
24 1 23
24 1 19
27 1 14
19 1 31
19 1 24
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
40 1 19
40 1 17
19 1 40
32 1 17
32 1 19
19 1 32
19 1 25
30 1 31
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 4
2 2 12
12 2 2
12 2 12
12 2 16
2 2 15
12 2 13
17 2 20
15 2 17
17 2 22
21 2 18
18 2 10
10 2 21
21 2 10
18 2 18
23 2 19
10 2 18
21 2 31
31 2 24
24 2 18
18 2 27
6 2 6
2 2 8
8 2 19
3 2 3
19 2 17
18 2 21
18 2 31
31 2 18
17 2 19
18 2 32
32 2 18
18 2 24
31 2 31
25 2 25
31 2 29
29 2 5
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
9 1 7
9 1 2
10 1 9
16 1 2
16 1 4
14 1 12
14 1 16
15 1 14
9 1 15
2 1 2
2 1 12
14 1 2
14 1 13
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
2 1 11
19 1 10
19 1 21
24 1 23
24 1 19
19 1 24
27 1 14
19 1 31
19 1 27
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
7 2 2
2 2 4
12 2 16
2 2 15
2 2 12
12 2 2
12 2 13
17 2 20
15 2 17
17 2 22
2 2 11
10 2 21
21 2 10
23 2 19
18 2 18
3 2 3
31 2 31
31 2 10
10 2 10
21 2 24
24 2 24
24 2 27
6 2 6
6 2 7
2 2 8
8 2 19
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

7 1 2
14 1 13
11 1 14
2 1 2
2 1 11
14 1 12
14 1 2
3 1 14
4 1 3
16 1 2
16 1 4
14 1 16
15 1 14
9 1 6
9 1 7
9 1 2
9 1 15
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
5 1 4
2 1 12
17 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 21
24 1 23
24 1 19
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
2 2 11
12 2 2
2 2 4
12 2 16
6 2 7
7 2 2
2 2 15
10 2 10
6 2 2
2 2 19
2 2 12
6 2 6
12 2 13
17 2 20
15 2 17
17 2 22
10 2 21
23 2 19
21 2 24
18 2 18
3 2 3
24 2 24
24 2 18
18 2 24
2 2 8
8 2 19
10 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
14 1 13
15 1 14
9 1 15
2 1 2
2 1 12
16 1 2
16 1 4
14 1 16
14 1 2
14 1 12
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
2 1 11
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
19 1 21
24 1 23
24 1 19
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 15
2 2 12
12 2 2
2 2 4
12 2 13
12 2 16
17 2 20
2 2 11
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
23 2 19
18 2 18
13 2 12
3 2 3
10 2 24
24 2 24
24 2 18
6 2 6
2 2 8
8 2 19
29 2 5
5 2 29
2 4 2
2 5 2
? 1

3 1 2
4 1 3
5 1 4
7 1 2
9 1 7
9 1 2
10 1 9
14 1 13
15 1 14
9 1 15
2 1 2
2 1 11
11 1 14
14 1 12
14 1 2
2 1 12
16 1 2
16 1 4
14 1 16
17 1 14
3 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 10
19 1 21
24 1 23
24 1 19
19 1 31
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
29 1 6
29 1 2
29 1 19
30 1 5
30 1 29
7 2 2
2 2 15
2 2 11
12 2 2
2 2 12
2 2 4
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
23 2 19
18 2 18
13 2 12
3 2 3
10 2 10
10 2 31
31 2 31
31 2 10
21 2 24
24 2 24
24 2 18
6 2 6
6 2 7
2 2 8
8 2 19
6 2 2
2 2 19
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
2 1 12
14 1 13
3 1 14
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
14 1 2
14 1 12
17 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
11 1 14
19 1 21
24 1 23
24 1 19
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 11
2 2 12
12 2 2
2 2 4
6 2 6
2 2 15
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
21 2 18
23 2 19
18 2 18
3 2 3
24 2 18
21 2 24
24 2 24
2 2 8
8 2 19
10 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
2 1 12
14 1 13
3 1 14
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
11 1 14
14 1 12
14 1 2
17 1 14
18 1 14
19 1 18
20 1 19
21 1 17
21 1 20
22 1 14
23 1 15
23 1 17
23 1 22
19 1 21
24 1 23
24 1 19
33 1 21
21 1 33
19 1 24
25 1 6
25 1 7
25 1 2
25 1 8
25 1 19
19 1 25
30 1 29
30 1 5
6 2 7
7 2 2
10 2 10
6 2 2
2 2 19
2 2 11
2 2 12
12 2 2
2 2 4
6 2 6
2 2 15
12 2 13
12 2 16
17 2 20
15 2 17
17 2 22
10 2 21
21 2 10
23 2 19
18 2 18
12 2 12
20 2 33
33 2 33
3 2 3
21 2 24
24 2 10
10 2 24
24 2 18
2 2 8
8 2 19
10 2 25
29 2 5
5 2 29
2 4 2
2 5 2
? 1

7 1 2
9 1 6
9 1 7
9 1 2
10 1 9
19 1 10
29 1 6
29 1 2
29 1 19
3 1 2
4 1 3
5 1 4
2 1 2
2 1 11
2 1 12
14 1 13
3 1 14
16 1 2
16 1 4
14 1 16
15 1 14
9 1 15
